customer_id,age,gender,education,income,employment_experience,home_ownership,credit_score,loan_intent,loan_status,relationship_score
CUST_00001,22,female,Master,71948.0,0,RENT,561,PERSONAL,1,35
CUST_00002,21,female,High School,12282.0,0,OWN,504,EDUCATION,0,20
CUST_00003,25,female,High School,12438.0,3,MORTGAGE,635,MEDICAL,1,34
CUST_00004,23,female,Bachelor,79753.0,0,RENT,675,MEDICAL,1,46
CUST_00005,24,male,Master,66135.0,1,RENT,586,MEDICAL,1,37
CUST_00006,21,female,High School,12951.0,0,OWN,532,VENTURE,1,23
CUST_00007,26,female,Bachelor,93471.0,1,RENT,701,EDUCATION,1,51
CUST_00008,24,female,High School,95550.0,5,RENT,585,MEDICAL,1,44
CUST_00009,24,female,Associate,100684.0,3,RENT,544,PERSONAL,1,39
CUST_00010,21,female,High School,12739.0,0,OWN,640,VENTURE,1,33
CUST_00011,22,female,High School,102985.0,0,RENT,621,VENTURE,1,45
CUST_00012,21,female,Associate,13113.0,0,OWN,651,HOMEIMPROVEMENT,1,34
CUST_00013,23,male,Bachelor,114860.0,3,RENT,573,VENTURE,1,44
CUST_00014,26,male,Master,130713.0,0,RENT,708,EDUCATION,1,57
CUST_00015,23,female,Associate,138998.0,0,RENT,583,EDUCATION,0,47
CUST_00016,23,female,Master,600891.0,5,MORTGAGE,670,DEBTCONSOLIDATION,0,67
CUST_00017,23,male,Bachelor,144943.0,0,RENT,663,EDUCATION,0,55
CUST_00018,23,female,High School,111369.0,0,RENT,694,MEDICAL,1,53
CUST_00019,23,male,Bachelor,136628.0,0,RENT,709,DEBTCONSOLIDATION,1,58
CUST_00020,24,female,Master,14283.0,1,MORTGAGE,679,EDUCATION,1,37
CUST_00021,25,male,Bachelor,195718.0,0,RENT,684,VENTURE,0,64
CUST_00022,25,male,High School,165792.0,4,RENT,662,PERSONAL,0,60
CUST_00023,22,female,Master,79255.0,0,RENT,691,EDUCATION,1,47
CUST_00024,24,female,Bachelor,13866.0,0,OWN,600,PERSONAL,0,29
CUST_00025,22,male,Bachelor,97420.0,1,RENT,691,PERSONAL,1,51
CUST_00026,24,female,High School,82443.0,0,RENT,654,HOMEIMPROVEMENT,1,45
