transaction_id,customer_id,date,amount,merchant_city,merchant_state,mcc,transaction_type,errors
7475327,CUST_00027,2010-01-01 00:01:00,-77.0,Beulah,ND,5499,food,
7475328,CUST_00233,2010-01-01 00:02:00,14.57,Bettendorf,IA,5311,shopping,
7475329,CUST_00197,2010-01-01 00:02:00,80.0,Vista,CA,4829,utilities,
7475331,CUST_00132,2010-01-01 00:05:00,200.0,Crown Point,IN,4829,utilities,
7475332,CUST_00130,2010-01-01 00:06:00,46.41,Harwood,MD,5813,entertainment,
7475333,CUST_00258,2010-01-01 00:07:00,4.81,Bronx,NY,5942,shopping,
7475334,CUST_00027,2010-01-01 00:09:00,77.0,Beulah,ND,5499,food,
7475335,CUST_00026,2010-01-01 00:14:00,26.46,ONLINE,,4784,travel,
7475336,CUST_00210,2010-01-01 00:21:00,261.58,ONLINE,,7801,entertainment,
7475337,CUST_00061,2010-01-01 00:21:00,10.74,Flushing,NY,5813,entertainment,
7475338,CUST_00029,2010-01-01 00:23:00,3.51,Pearland,TX,5311,shopping,
7475339,CUST_00158,2010-01-01 00:23:00,2.58,Brooklyn,NY,5411,food,
7475340,CUST_00027,2010-01-01 00:26:00,39.63,Beulah,ND,5499,food,
7475341,CUST_00293,2010-01-01 00:27:00,43.33,Kahului,HI,4121,travel,
7475342,CUST_00221,2010-01-01 00:30:00,49.42,North Hollywood,CA,5541,fuel,
7475343,CUST_00229,2010-01-01 00:31:00,1.09,San Benito,TX,5942,shopping,
7475344,CUST_00216,2010-01-01 00:32:00,73.79,Erie,PA,7538,purchase,
7475345,CUST_00197,2010-01-01 00:32:00,100.0,Vista,CA,4829,utilities,
7475346,CUST_00236,2010-01-01 00:34:00,26.04,ONLINE,,4784,travel,
7475347,CUST_00221,2010-01-01 00:36:00,-64.0,North Hollywood,CA,5541,fuel,
7475348,CUST_00154,2010-01-01 00:36:00,54.27,Cedar Park,TX,5813,entertainment,
7475349,CUST_00039,2010-01-01 00:37:00,20.74,Grand Forks,ND,5411,food,
7475350,CUST_00221,2010-01-01 00:38:00,64.0,North Hollywood,CA,5541,fuel,
7475351,CUST_00252,2010-01-01 00:38:00,57.54,Menasha,WI,5300,shopping,
7475353,CUST_00136,2010-01-01 00:43:00,10.17,ONLINE,,4784,travel,
7475354,CUST_00151,2010-01-01 00:43:00,12.01,Cordele,GA,5921,shopping,
7475356,CUST_00112,2010-01-01 00:45:00,16.86,ONLINE,,4121,travel,
7475357,CUST_00055,2010-01-01 00:46:00,4.64,Mobile,AL,5411,food,
7475358,CUST_00279,2010-01-01 00:48:00,669.88,West Covina,CA,3174,travel,
7475359,CUST_00235,2010-01-01 00:48:00,22.57,ONLINE,,4784,travel,
7475360,CUST_00194,2010-01-01 00:49:00,2.4,East Hartford,CT,5411,food,
7475361,CUST_00121,2010-01-01 00:53:00,40.35,Vacaville,CA,5814,food,
7475362,CUST_00247,2010-01-01 00:56:00,14.57,Tacoma,WA,5921,shopping,
7475363,CUST_00164,2010-01-01 00:57:00,7.8,Watsonville,CA,5310,shopping,
7475364,CUST_00134,2010-01-01 00:57:00,2.95,Woburn,MA,5541,fuel,
7475365,CUST_00136,2010-01-01 01:01:00,270.22,ONLINE,,4814,utilities,
7475366,CUST_00069,2010-01-01 01:03:00,78.0,Grand Junction,CO,5499,food,
7475367,CUST_00028,2010-01-01 01:06:00,87.09,ONLINE,,4900,utilities,
7475368,CUST_00167,2010-01-01 01:07:00,148.39,Morristown,NJ,4900,utilities,
7475370,CUST_00121,2010-01-01 01:07:00,48.12,Vacaville,CA,5812,food,
7475371,CUST_00233,2010-01-01 01:08:00,7.75,Burlington,IA,5813,entertainment,
7475372,CUST_00112,2010-01-01 01:11:00,14.66,ONLINE,,4121,travel,
7475373,CUST_00267,2010-01-01 01:11:00,3.96,Manasquan,NJ,5812,food,
7475374,CUST_00026,2010-01-01 01:13:00,12.67,ONLINE,,4784,travel,
7475376,CUST_00020,2010-01-01 01:19:00,580.98,Thackerville,OK,7995,entertainment,
7475377,CUST_00258,2010-01-01 01:19:00,10.34,Laurel,MT,5813,entertainment,
7475378,CUST_00249,2010-01-01 01:19:00,17.14,Osprey,FL,4121,travel,
7475379,CUST_00084,2010-01-01 01:22:00,1.85,Garden City,NY,5499,food,
7475380,CUST_00069,2010-01-01 01:23:00,71.72,Grand Junction,CO,5499,food,
7475381,CUST_00132,2010-01-01 01:25:00,200.0,Crown Point,IN,4829,utilities,
7475382,CUST_00069,2010-01-01 01:25:00,-78.0,Grand Junction,CO,5499,food,
7475383,CUST_00247,2010-01-01 01:30:00,23.08,Tacoma,WA,5813,entertainment,
7475385,CUST_00190,2010-01-01 01:37:00,40.0,Pinetop,AZ,4829,utilities,
7475388,CUST_00050,2010-01-01 01:40:00,2.43,Ukiah,CA,5411,food,
7475389,CUST_00228,2010-01-01 01:40:00,3.77,Lexington,KY,5942,shopping,
7475390,CUST_00211,2010-01-01 01:41:00,3.29,Lake Charles,LA,5812,food,
7475391,CUST_00107,2010-01-01 01:41:00,62.98,ONLINE,,4900,utilities,
7475394,CUST_00249,2010-01-01 01:46:00,34.34,ONLINE,,4121,travel,
7475395,CUST_00021,2010-01-01 01:47:00,73.46,Fontana,CA,7995,entertainment,
7475396,CUST_00292,2010-01-01 01:48:00,9.16,Modesto,CA,5813,entertainment,
7475397,CUST_00020,2010-01-01 01:48:00,541.29,Arlington Heights,IL,7802,entertainment,
7475398,CUST_00134,2010-01-01 01:53:00,30.69,Newark,NJ,7538,purchase,
7475399,CUST_00268,2010-01-01 01:54:00,177.41,Muscle Shoals,AL,4814,utilities,
7475400,CUST_00204,2010-01-01 01:54:00,14.2,San Francisco,CA,5300,shopping,
7475401,CUST_00234,2010-01-01 01:54:00,119.23,ONLINE,,4900,utilities,
7475402,CUST_00151,2010-01-01 01:55:00,10.61,Dublin,GA,5912,utilities,
7475403,CUST_00228,2010-01-01 01:56:00,52.98,ONLINE,,4784,travel,
7475404,CUST_00267,2010-01-01 01:56:00,3.35,Manasquan,NJ,5812,food,
7475406,CUST_00059,2010-01-01 01:58:00,39.05,Cleveland,OH,5813,entertainment,
7475407,CUST_00110,2010-01-01 02:00:00,6.79,Saint Louis,MO,5541,fuel,
7475410,CUST_00141,2010-01-01 02:05:00,100.0,Grand Rapids,MI,4829,utilities,
7475411,CUST_00150,2010-01-01 02:05:00,196.22,Middletown,NY,7011,travel,
7475412,CUST_00014,2010-01-01 02:06:00,3.83,Colwich,KS,5411,food,
7475413,CUST_00164,2010-01-01 02:07:00,1.87,Gonzales,TX,5912,utilities,
7475414,CUST_00047,2010-01-01 02:08:00,6.63,Tacoma,WA,5814,food,
7475415,CUST_00224,2010-01-01 02:08:00,8.3,Canton,MA,5499,food,
7475416,CUST_00228,2010-01-01 02:09:00,2.75,Lexington,KY,5411,food,
7475417,CUST_00205,2010-01-01 02:11:00,4.07,Sacramento,CA,5541,fuel,
7475419,CUST_00277,2010-01-01 02:12:00,2.31,Seligman,AZ,5411,food,
7475420,CUST_00252,2010-01-01 02:13:00,0.21,Menasha,WI,5541,fuel,
7475421,CUST_00020,2010-01-01 02:13:00,396.03,Thackerville,OK,7995,entertainment,
7475422,CUST_00150,2010-01-01 02:13:00,-460.0,Middletown,NY,7011,travel,
7475423,CUST_00224,2010-01-01 02:14:00,91.02,Williston Park,NY,5812,food,
7475424,CUST_00110,2010-01-01 02:15:00,3.68,Cohasset,MA,5812,food,
7475425,CUST_00291,2010-01-01 02:16:00,38.11,ONLINE,,4900,utilities,
7475426,CUST_00124,2010-01-01 02:17:00,25.97,Canton,MI,5813,entertainment,
7475427,CUST_00098,2010-01-01 02:17:00,66.05,ONLINE,,4784,travel,
7475429,CUST_00272,2010-01-01 02:22:00,33.02,Bullock,NC,4900,utilities,
7475430,CUST_00112,2010-01-01 02:22:00,103.97,Markesan,WI,4900,utilities,
7475431,CUST_00023,2010-01-01 02:25:00,2.33,Dallas,TX,5541,fuel,
7475432,CUST_00141,2010-01-01 02:25:00,51.58,ONLINE,,5192,purchase,
7475434,CUST_00239,2010-01-01 02:28:00,57.43,Grain Valley,MO,5812,food,
7475435,CUST_00050,2010-01-01 02:31:00,2.87,Ukiah,CA,5541,fuel,
7475436,CUST_00057,2010-01-01 02:32:00,27.63,Miami,FL,5812,food,
7475437,CUST_00139,2010-01-01 02:33:00,76.76,Waianae,HI,5912,utilities,
7475438,CUST_00039,2010-01-01 02:35:00,9.1,Amherst,OH,5814,food,
7475439,CUST_00206,2010-01-01 02:35:00,0.75,Burlingame,CA,5411,food,
7475440,CUST_00143,2010-01-01 02:39:00,160.0,Boulder Creek,CA,4829,utilities,
7475441,CUST_00100,2010-01-01 02:40:00,28.21,Chicago,IL,5912,utilities,
7475442,CUST_00069,2010-01-01 02:40:00,44.86,Fayetteville,AR,7393,purchase,
7475443,CUST_00170,2010-01-01 02:44:00,57.73,Holly Springs,NC,5651,shopping,
7475444,CUST_00201,2010-01-01 02:45:00,6.52,Alhambra,CA,5411,food,
7475446,CUST_00283,2010-01-01 02:48:00,4.04,Saint Charles,IL,5812,food,
7475447,CUST_00132,2010-01-01 02:51:00,3.93,Woodbury,TN,5541,fuel,
7475449,CUST_00277,2010-01-01 02:51:00,5.12,Seligman,AZ,5411,food,
7475450,CUST_00049,2010-01-01 02:52:00,19.15,Terre Haute,IN,5651,shopping,
7475452,CUST_00250,2010-01-01 02:57:00,58.85,Big Bear Lake,CA,5300,shopping,
7475453,CUST_00189,2010-01-01 02:57:00,2.77,Sutersville,PA,5411,food,
7475454,CUST_00211,2010-01-01 02:57:00,2.75,Albuquerque,NM,5411,food,
7475455,CUST_00224,2010-01-01 02:59:00,115.37,Williston Park,NY,5814,food,
7475456,CUST_00030,2010-01-01 03:02:00,77.7,Somerset,NJ,5300,shopping,
7475457,CUST_00094,2010-01-01 03:03:00,120.87,Huntington Station,NY,5541,fuel,
7475458,CUST_00124,2010-01-01 03:06:00,23.86,Canton,MI,5813,entertainment,
7475459,CUST_00231,2010-01-01 03:08:00,11.18,Sumter,SC,5813,entertainment,
7475460,CUST_00250,2010-01-01 03:08:00,-147.0,Marysville,OH,3780,travel,
7475461,CUST_00132,2010-01-01 03:09:00,3.92,Whites Creek,TN,5814,food,
7475462,CUST_00049,2010-01-01 03:09:00,27.29,Terre Haute,IN,5651,shopping,
7475463,CUST_00131,2010-01-01 03:11:00,40.89,ONLINE,,7922,entertainment,
7475464,CUST_00250,2010-01-01 03:13:00,14.21,Marysville,OH,3780,travel,
7475465,CUST_00242,2010-01-01 03:16:00,24.47,Oak Park,MN,5813,entertainment,
7475466,CUST_00253,2010-01-01 03:17:00,29.6,Fresno,CA,4814,utilities,
7475467,CUST_00117,2010-01-01 03:17:00,22.77,Lombard,IL,5814,food,
